trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9900498337491681}",20,0,-82.7739684544404,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9801986733067553}",30,0,-218.58387816381284,"{0: 15, 1: 2, 2: 9, 3: 1, 4: 3}",0
3,False,"{'a': 0.3, 'e': 0.9704455335485082}",35,23,-25.694546442176183,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.3, 'e': 0.9607894391523232}",20,0,-186.63659179548122,"{0: 9, 1: 3, 2: 2, 3: 4, 4: 2}",0
5,False,"{'a': 0.3, 'e': 0.951229424500714}",25,0,-93.59778649489621,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",1
6,False,"{'a': 0.3, 'e': 0.9417645335842487}",20,0,-80.11268510872988,"{0: 11, 1: 6, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.9323938199059483}",20,0,-59.44671957656458,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.9231163463866358}",25,6,-43.277078616776464,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
9,False,"{'a': 0.3, 'e': 0.9139311852712282}",20,0,-104.77789079417502,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.9048374180359595}",25,0,-67.35814174131539,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.8958341352965282}",20,0,-34.5342618209848,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.8869204367171575}",25,0,-75.2809769947402,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.8780954309205613}",30,13,-72.43594851958248,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 0}",1
14,False,"{'a': 0.3, 'e': 0.8693582353988059}",20,0,-151.02437234676722,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
15,False,"{'a': 0.3, 'e': 0.8607079764250578}",25,0,-99.64189887942854,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.8521437889662113}",30,11,-116.39152737140815,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
17,False,"{'a': 0.3, 'e': 0.8436648165963837}",20,0,-111.72085033668057,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.3, 'e': 0.835270211411272}",30,0,-94.51696747560258,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.8269591339433623}",30,0,-191.24657640479438,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
20,False,"{'a': 0.3, 'e': 0.8187307530779818}",25,0,-56.28944925580552,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
21,False,"{'a': 0.3, 'e': 0.8105842459701871}",25,0,-188.341594287449,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
22,False,"{'a': 0.3, 'e': 0.8025187979624785}",20,0,-118.52393515727549,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.3, 'e': 0.794533602503334}",20,0,-42.090713902182344,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.3, 'e': 0.7866278610665535}",20,0,-112.86736923472806,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.3, 'e': 0.7788007830714049}",25,0,-61.83444075342293,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.3, 'e': 0.7710515858035663}",20,0,-61.387359468936225,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.7633794943368531}",30,0,-119.5465112139598,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
